Cycle Nr.,Time [s],Temp. [°C],A7,A8,A9,A10,A11,A12
307,3279.427,36.8,0.072,0.1284,0.1599,0.0668,0.0526,0.0606
308,3290.144,36.8,0.0722,0.1319,0.1597,0.067,0.0527,0.0606
309,3300.868,36.7,0.0703,0.1285,0.1593,0.0668,0.0526,0.0605
310,3311.608,36.8,0.0702,0.1283,0.1608,0.0671,0.0527,0.0605
311,3322.326,36.8,0.0721,0.1291,0.1597,0.067,0.0529,0.0607
312,3333.031,36.7,0.0716,0.128,0.1599,0.0668,0.0527,0.0605
313,3343.741,36.8,0.0707,0.128,0.1601,0.0722,0.0527,0.0605
314,3354.471,36.8,0.073,0.1277,0.1601,0.0672,0.0527,0.0605
315,3365.192,36.6,0.0716,0.1283,0.1602,0.067,0.0527,0.0606
316,3375.912,36.8,0.0706,0.1289,0.1604,0.067,0.0527,0.0606
317,3386.62,36.8,0.0722,0.1291,0.16,0.0673,0.0527,0.0605
318,3397.334,36.7,0.0706,0.1298,0.1596,0.0674,0.0527,0.0618
319,3408.062,36.8,0.072,0.1294,0.1598,0.067,0.0528,0.0607
320,3418.772,36.8,0.0707,0.1291,0.1602,0.067,0.0528,0.0606
321,3429.47,36.7,0.0755,0.1288,0.1602,0.0671,0.0528,0.0607
322,3440.183,36.8,0.0703,0.1279,0.1599,0.067,0.0527,0.0605
323,3450.904,36.8,0.0705,0.1364,0.16,0.067,0.0525,0.0606
324,3461.622,36.7,0.0704,0.1341,0.1598,0.067,0.0527,0.0606
325,3472.338,36.8,0.07,0.133,0.1598,0.0669,0.0526,0.0607
326,3483.053,36.8,0.0704,0.1318,0.1602,0.0672,0.0527,0.0606
327,3493.763,36.7,0.0707,0.1281,0.1603,0.0672,0.0527,0.0607
328,3504.5,36.8,0.0694,0.13,0.1605,0.0669,0.0527,0.0605
329,3515.206,36.8,0.0707,0.1312,0.1609,0.067,0.0527,0.0607
330,3525.916,36.7,0.0698,0.1347,0.1602,0.0667,0.0526,0.0606
331,3536.644,36.8,0.0701,0.1345,0.1606,0.0667,0.0528,0.0607
332,3547.356,36.8,0.0732,0.1341,0.1601,0.067,0.0527,0.0606
333,3558.058,36.7,0.0708,0.1288,0.1601,0.067,0.0527,0.0606
334,3568.771,36.8,0.0696,0.1292,0.16,0.0671,0.0527,0.0607
335,3579.482,36.8,0.0702,0.1327,0.1602,0.067,0.0528,0.0607
336,3590.197,36.7,0.0692,0.1301,0.1606,0.067,0.0527,0.0606
,,,,,,,,
End Time,,,,,,,,
